,title,one,two
0,Frozen Assets  novel ,Frozen Assets (novel)Frozen Assets is a novel by P,G
1,Igunaujannguaq,"IgunaujannguaqIgunaujannguaq, an Inuit word which translates to ""Frozen Walrus Carcass"", is a game which involves a person (the ""frozen walrus carcass"") in the centre of a ring of people trying to remain stiff as he or she is passed, hand over hand, around the ring"," The person who drops the ""frozen walrus carcass"" then becomes the ""frozen walrus carcass"" and must be passed around the ring"
2,Frozen  Delain song ,"Frozen (Delain song)""Frozen"" is the first single of the Dutch symphonic metal band Delain"," It was released on January 8, 2007 by Roadrunner Records"
3,Frozen Tracks,"Frozen TracksFrozen Tracks (""Himlen är en plats på jorden "") is a 2001 novel by Swedish crime-writer Ake Edwardson, part of his Inspector Erik Winter series"," The novel was the third of his books to win the Swedish Crime Academy Prize for Best Crime Novel of the Year, and the first of those books to be translated into English, by Laurie Thompson, in 2007"
4,Frozen vegetables, They may be commercially packaged or frozen at home, A wide range of frozen vegetables are sold in supermarkets
